epoch,step,test_f1,test_loss,test_precision,test_recall,test_roc_auc,val_f1,val_loss,val_precision,val_recall,val_roc_auc
0,417,,,,,,0.7424242496490479,0.35806944966316223,0.695035457611084,0.7967479825019836,0.942228376865387
1,835,,,,,,0.7214285731315613,0.24086102843284607,0.6433120965957642,0.8211382031440735,0.9583150148391724
2,1253,,,,,,0.7399267554283142,0.2207326889038086,0.6733333468437195,0.8211382031440735,0.971511721611023
3,1671,,,,,,0.5737704634666443,0.2237287312746048,0.43209877610206604,0.8536585569381714,0.9770949482917786
4,2089,,,,,,0.7557252049446106,0.22341743111610413,0.7122302055358887,0.8048780560493469,0.9607110023498535
5,2507,,,,,,0.7122302055358887,0.22652973234653473,0.6387096643447876,0.8048780560493469,0.9772899150848389
6,2925,,,,,,0.7443609237670898,0.2295438051223755,0.692307710647583,0.8048780560493469,0.9662067294120789
7,3343,,,,,,0.7644787430763245,0.22469276189804077,0.7279411554336548,0.8048780560493469,0.9708766937255859
8,3761,,,,,,0.8017621040344238,0.23821039497852325,0.875,0.7398374080657959,0.95823734998703
9,4179,,,,,,0.8117154836654663,0.2444804161787033,0.8362069129943848,0.7886179089546204,0.9614496231079102
10,4597,,,,,,0.8290598392486572,0.230289489030838,0.8738738894462585,0.7886179089546204,0.9607804417610168
11,5015,,,,,,0.7471697926521301,0.22033920884132385,0.6971830725669861,0.8048780560493469,0.9717747569084167
12,5433,,,,,,0.7615384459495544,0.2250068187713623,0.7226277589797974,0.8048780560493469,0.9753219485282898
13,5851,,,,,,0.7087719440460205,0.23602904379367828,0.6234567761421204,0.8211382031440735,0.9638063907623291
14,5852,0.7087719440460205,0.23602904379367828,0.6234567761421204,0.8211382031440735,0.9638063907623291,,,,,
